"error_code","error_pattern","level","first_occurred_on","last_occurred_on","active"
"DISCOERR0001068","No result returned from probe.","Warning","2017-10-20 11:00:09","2019-12-11 12:24:23","true"
"DISCOERR0001105","No results returned from probe.","Warning","2017-10-20 11:01:19","2019-12-11 12:17:57","true"
"DISCOERR0001588","bash: purehw: command not found","Warning","2018-09-24 21:37:09","2019-12-11 12:03:35","true"
"DISCOERR0001075","ICSI Export not found for targetIQN:","Warning","2017-10-20 11:57:53","2019-12-11 10:58:32","true"
"DISCOERR0001890","Probe skipped due to failure of previous probe attempt","Warning","2019-06-07 02:58:25","2019-12-11 12:04:35","true"
"DISCOERR0001243","No access","Warning","2017-10-20 11:32:28","2019-12-11 11:58:59","true"
"DISCOERR0001204","Adding target to blacklist.  No valid credential found for types [SSH Password,SSH Private Key]","Warning","2017-10-20 11:01:57","2019-12-11 12:35:05","true"
"DISCOERR0001891","No supported privileged command found, current user may be improperly configured on this host to run privileged commands, running as current user;","Warning","2019-06-07 02:58:26","2019-12-11 12:24:27","true"
"DISCOERR0002319","No credential found for types [SSH Password,SSH Private Key] with credential tag [discovery]","Warning","2019-10-31 15:56:12","2019-12-11 10:59:08","true"
"DISCOERR0002246","more than one oob pool","Error","2019-07-08 20:28:32","2019-12-11 11:30:33","true"
"DISCOERR0001526","Cannot connect, status is TCP_CONNECTION_DROPPED. Connection unexpectedly closed by SSH server","Warning","2017-10-01 11:40:43","2019-12-11 12:34:36","true"
"DISCOERR0001005","Instance id is null for node sys_id:","Error","2017-10-20 11:03:55","2019-12-11 12:21:37","true"
"DISCOERR0001207","Cannot connect, status is SSH_PROTOCOL_FAILURE. Received server DISCONNECT message: DISCONNECT: code: 11, reason: Connection closed by application, description: Logged out.","Warning","2017-10-20 11:05:52","2019-12-11 12:02:27","true"
"DISCOERR0001081","is not associated with the device:","Warning","2017-10-20 11:03:47","2019-12-11 11:58:55","true"
"DISCOERR0001044","SNMP probe timed out. Target is either unreachable or there are no valid credentials for it.","Warning","2017-10-20 11:00:14","2019-12-11 12:35:11","true"
"DISCOERR0001079","VLAN table not found in SNMP response","Warning","2017-10-20 11:00:28","2019-12-11 12:00:33","true"
